Category,Subcategory,URI
north-america,united-states,tcp://mo.us.ygg.triplebit.org:9000
north-america,united-states,tls://mo.us.ygg.triplebit.org:993
north-america,united-states,quic://mo.us.ygg.triplebit.org:443
north-america,united-states,ws://mo.us.ygg.triplebit.org:9010
north-america,united-states,tcp://ygg8.mk16.de:1337?key=0000000b0683e38d8cb3085cfbf217edf0f0b2de76bb5ac7f02a94cd42a3fed9
north-america,united-states,tls://ygg8.mk16.de:1338?key=0000000b0683e38d8cb3085cfbf217edf0f0b2de76bb5ac7f02a94cd42a3fed9
north-america,united-states,quic://ygg8.mk16.de:1339?key=0000000b0683e38d8cb3085cfbf217edf0f0b2de76bb5ac7f02a94cd42a3fed9
north-america,united-states,ws://ygg8.mk16.de:1340?key=0000000b0683e38d8cb3085cfbf217edf0f0b2de76bb5ac7f02a94cd42a3fed9
north-america,united-states,tls://srv.newsdeef.eu:59999
north-america,united-states,tcp://srv.newsdeef.eu:9999
north-america,united-states,tcp://longseason.1200bps.xyz:13121
north-america,united-states,tls://longseason.1200bps.xyz:13122
north-america,united-states,tls://44.234.134.124:443
north-america,united-states,tls://ygg.mnpnk.com:443
north-america,united-states,tcp://ygg-pa.incognet.io:8883
north-america,united-states,tls://ygg-pa.incognet.io:8884
north-america,united-states,quic://ygg-pa.incognet.io:8885
north-america,united-states,ws://ygg-pa.incognet.io:8886
north-america,united-states,tcp://ygg.everypizza.im:9441
north-america,united-states,tls://ygg.jjolly.dev:3443
north-america,united-states,tls://31.22.111.195:32000
north-america,united-states,quic://[2603:c020:4015:b937:a1c7:aff8:b558:d1fe]:23165
north-america,united-states,quic://129.80.167.244:23165
north-america,united-states,tcp://ygg-dc.lxak.net:8879
north-america,united-states,tls://ygg-dc.lxak.net:8880
north-america,united-states,quic://ygg-dc.lxak.net:8881
north-america,united-states,tcp://ygg4.mk16.de:1337?key=000000573433e11f23768b078bcdc10b42712a7b131d6d04b82042ffc0c97df0
north-america,united-states,tls://ygg4.mk16.de:1338?key=000000573433e11f23768b078bcdc10b42712a7b131d6d04b82042ffc0c97df0
north-america,united-states,quic://ygg4.mk16.de:1339?key=000000573433e11f23768b078bcdc10b42712a7b131d6d04b82042ffc0c97df0
north-america,united-states,ws://ygg4.mk16.de:1340?key=000000573433e11f23768b078bcdc10b42712a7b131d6d04b82042ffc0c97df0
north-america,united-states,tls://23.184.48.86:993
north-america,united-states,tls://[2602:fc24:18:7a42::1]:993
